time_stamp,asset_id,sensor_0_avg,sensor_5_avg_cos,sensor_5_min_cos,sensor_43_avg,sensor_41_avg,sensor_5_max_cos,sensor_5_avg_sin,sensor_5_min_sin,sensor_14_avg,sensor_52_max,wind_speed_3_min,sensor_10_avg,reactive_power_27_max,sensor_47,sensor_38_avg,sensor_40_avg,power_30_std,label
2023-10-12 09:20:00,0,24.0,0.9135454,0.91425395,30.0,38.0,0.91283417,0.40673664,0.4051416,34.0,1.7,0.4,33.0,0.0,-2675.0,61.0,67.0,0.001804878,1
2023-10-12 09:30:00,0,23.0,0.9135454,0.93544406,30.0,38.0,0.91283417,0.40673664,0.35347486,34.0,2.2,0.4,33.0,0.0,-2033.0,61.0,67.0,0.0017073171,1
2023-10-12 09:40:00,0,23.0,0.9900237,0.99912286,30.0,38.0,0.9135454,0.14090124,-0.041875653,33.0,12.3,1.6,34.0,0.42243904,-1108.0,61.0,67.0,0.022731707,1
2023-10-12 09:50:00,0,23.0,0.9832549,0.99990255,30.0,38.0,0.6320293,0.18223552,-0.01396218,33.0,11.3,0.8,37.0,0.28678048,-1614.0,61.0,66.0,0.012731708,1
2023-10-12 10:00:00,0,23.0,0.9135454,0.91425395,30.0,38.0,0.91283417,0.40673664,0.4051416,33.0,2.8,0.6,36.0,0.0,-1973.0,61.0,66.0,0.0014634146,1
2023-10-12 10:10:00,0,23.0,0.9135454,0.91425395,30.0,37.0,0.91283417,0.40673664,0.4051416,33.0,0.0,0.5,35.0,0.0,-2001.0,60.0,66.0,0.0017560975,1
2023-10-31 14:20:00,10,24.0,0.99994516,0.99904823,37.0,50.0,0.9969173,-0.0104717845,-0.043619387,67.0,15.3,1.6,41.0,0.4878049,0.0,85.0,90.0,0.18048781,0
2023-10-31 14:30:00,10,24.0,0.81310076,0.99912286,38.0,50.0,0.008726535,0.582123,-0.041875653,67.0,15.2,2.0,37.0,0.4878049,-2025.0,84.0,89.0,0.30434147,0
2023-10-31 14:40:00,10,24.0,0.9996101,0.99912286,38.0,50.0,0.27563736,0.02792164,-0.041875653,67.0,15.2,1.9,39.0,0.4878049,-382.0,83.0,87.0,0.29590243,0
2023-10-31 14:50:00,10,24.0,0.9997015,0.99912286,38.0,50.0,0.9995599,-0.024432179,-0.041875653,65.0,15.2,3.1,39.0,0.4878049,0.0,82.0,87.0,0.16702439,0
2023-10-31 15:00:00,10,24.0,0.99990255,0.99912286,37.0,50.0,0.99904823,-0.01396218,-0.041875653,65.0,15.3,2.9,39.0,0.4878049,0.0,82.0,86.0,0.11317073,0
2023-10-31 15:10:00,10,24.0,0.9998477,0.99904823,37.0,50.0,0.99912286,-0.017452406,-0.043619387,65.0,15.2,2.7,39.0,0.4878049,0.0,82.0,87.0,0.17209756,0
2023-09-02 23:50:00,11,25.0,0.99990255,0.99912286,39.0,51.0,0.9992629,-0.01396218,-0.041875653,83.0,15.2,4.2,43.0,0.4878049,0.0,91.0,91.0,0.10307317,0
2023-09-03 00:00:00,11,25.0,0.9999939,0.99904823,39.0,50.0,0.99556196,0.0034906515,-0.043619387,83.0,15.3,3.0,43.0,0.4878049,0.0,90.0,90.0,0.1449756,0
2023-09-03 00:10:00,11,25.0,0.99994516,0.99904823,39.0,50.0,0.99731445,-0.0104717845,-0.043619387,82.0,15.2,3.5,44.0,0.4878049,0.0,90.0,90.0,0.11697561,0
2023-09-03 00:20:00,11,25.0,0.99990255,0.99912286,39.0,50.0,0.99990255,-0.01396218,-0.041875653,81.0,15.1,5.1,43.0,0.4878049,0.0,89.0,89.0,0.068682924,0
2023-09-03 00:30:00,11,25.0,0.9998766,0.99904823,39.0,49.0,0.99994516,-0.015707318,-0.043619387,81.0,15.1,3.5,43.0,0.4878049,0.0,89.0,88.0,0.09639025,0
2023-09-03 00:40:00,11,25.0,0.99990255,0.9991944,39.0,48.0,0.9976843,-0.01396218,-0.040131792,80.0,15.2,4.1,43.0,0.4878049,0.0,88.0,88.0,0.10868293,0
2023-09-03 14:30:00,13,31.0,0.9999756,0.9991944,35.0,40.0,0.9969173,-0.00698126,-0.040131792,51.0,11.8,0.5,41.0,0.4878049,-467.0,59.0,59.0,0.05214634,1
2023-09-03 14:40:00,13,31.0,0.9952274,0.99904823,35.0,40.0,0.5135413,0.0975829,-0.043619387,51.0,13.0,0.4,39.0,0.4878049,-2380.0,59.0,59.0,0.053219512,1
2023-09-03 14:50:00,13,31.0,0.9999756,0.9991944,35.0,41.0,0.9998477,-0.00698126,-0.040131792,51.0,11.6,0.8,39.0,0.4878049,0.0,59.0,59.0,0.038634147,1
2023-09-03 15:00:00,13,31.0,0.99999845,0.9991944,36.0,41.0,0.9963453,-0.0017453284,-0.040131792,51.0,11.5,0.6,41.0,0.4878049,-284.0,59.0,59.0,0.035365853,1
2023-09-03 15:10:00,13,31.0,0.99994516,0.99939084,36.0,41.0,0.9998766,-0.0104717845,-0.034899496,51.0,11.4,0.6,45.0,0.4878049,0.0,58.0,59.0,0.03219512,1
2023-09-03 15:20:00,13,31.0,0.9999939,0.9992629,36.0,41.0,0.80281746,0.0034906515,-0.03838781,51.0,11.6,0.4,43.0,0.4878049,-884.0,59.0,59.0,0.04092683,1
2023-10-07 07:40:00,21,21.0,1.0,0.9999254,30.0,39.0,0.99990255,0.0,-0.012217001,35.0,11.1,2.1,39.0,0.20546341,0.0,48.0,47.0,0.008780488,1
2023-10-07 07:50:00,21,21.0,0.9999939,0.99994516,30.0,39.0,0.99999845,-0.0034906515,-0.0104717845,37.0,11.1,2.8,38.0,0.2542927,0.0,48.0,47.0,0.005902439,1
2023-10-07 08:00:00,21,21.0,0.99999845,0.9999619,30.0,39.0,0.99904823,0.0017453284,-0.008726535,38.0,11.1,1.7,38.0,0.2545366,0.0,48.0,47.0,0.012243902,1
2023-10-07 08:10:00,21,21.0,0.98713624,0.9991944,31.0,38.0,0.6908824,0.15988119,-0.040131792,40.0,12.2,0.8,37.0,0.33687806,-1557.0,48.0,47.0,0.012439025,1
2023-10-07 08:20:00,21,21.0,0.99994516,0.9999863,31.0,38.0,0.9998766,0.0104717845,0.005235964,40.0,11.1,1.7,39.0,0.16551219,0.0,47.0,47.0,0.004682927,1
